球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
乔-科隆,4,0,23.30%,7,30,0.00%,0,0,50.00%,3,6,0,3,0,0,0,13,17
乔恩-洛伊尔,13,48,46.70%,7,15,50.00%,1,2,66.70%,2,3,16,2,2,1,0,5,17
佩里-琼斯,12,59,36.80%,7,19,30.00%,3,10,0.00%,0,0,10,1,0,1,1,9,17
卡洛斯-克拉克,11,31,46.70%,7,15,0.00%,0,0,75.00%,3,4,3,4,2,2,1,5,17
埃德里斯-阿德巴约,5,78,46.70%,7,15,0.00%,0,1,21.40%,3,14,20,0,0,2,2,8,17
奥泽尔-琼斯,5,73,72.70%,8,11,0.00%,0,0,16.70%,1,6,17,4,1,4,7,18,17
戈尔吉-吉昂,5,70,33.30%,6,18,40.00%,2,5,75.00%,3,4,18,4,2,4,1,6,17
拉里-琼斯,5,25,41.70%,5,12,0.00%,0,0,63.60%,7,11,4,2,0,0,0,5,17
本-谢阿纳斯,3,0,28.60%,6,21,0.00%,0,0,55.60%,5,9,0,2,0,0,0,10,17
格雷格-德莱琳,9,89,33.30%,6,18,100.00%,1,1,66.70%,4,6,20,0,0,0,3,22,17
米尔特-舒恩,3,0,29.40%,5,17,0.00%,0,0,70.00%,7,10,0,3,0,0,0,6,17
詹姆斯-杨,13,49,33.30%,6,18,33.30%,5,15,0.00%,0,0,7,3,0,0,2,3,17
迈克尔-迪克森,4,82,27.30%,6,22,37.50%,3,8,50.00%,2,4,4,3,2,3,2,8,17
雷-科尔利,6,0,16.70%,6,36,0.00%,0,0,45.50%,5,11,0,10,0,0,0,5,17
韦斯利-约翰逊,9,88,35.70%,5,14,33.30%,3,9,80.00%,4,5,20,2,2,4,2,8,17
乔纳-博尔登,8,66,27.80%,5,18,26.70%,4,15,50.00%,2,4,14,2,2,1,7,10,16
加里-格雷戈尔,7,67,28.60%,6,21,0.00%,0,0,66.70%,4,6,17,2,0,0,0,14,16
卢克-维特,7,28,54.50%,6,11,0.00%,0,0,100.00%,4,4,9,4,0,0,0,4,16
哈马德-哈达迪,13,51,41.70%,5,12,0.00%,0,1,75.00%,6,8,17,1,0,7,3,12,16
布拉德-霍兰德,11,36,54.50%,6,11,0.00%,0,0,100.00%,4,4,5,4,5,0,4,8,16
托比-奈特,6,48,30.00%,6,20,0.00%,0,0,50.00%,4,8,19,1,1,4,3,9,16
杰克-莱曼,7,37,60.00%,6,10,33.30%,1,3,75.00%,3,4,5,2,3,0,0,5,16
杰弗瑞-洛文吉,4,32,41.70%,5,12,0.00%,0,2,100.00%,6,6,10,5,0,0,2,1,16
查克-内维特,16,55,31.30%,5,16,0.00%,0,0,60.00%,6,10,16,1,4,9,6,13,16
比尔-托斯赫夫,4,134,8.80%,3,34,0.00%,0,0,100.00%,10,10,11,11,0,0,0,14,16
罗伊-怀特,3,40,50.00%,7,14,0.00%,0,1,50.00%,2,4,10,0,0,0,1,4,16
肖恩-马科斯,6,83,46.20%,6,13,0.00%,0,1,80.00%,4,5,20,0,3,2,2,9,16
达夫-詹姆森,2,21,38.50%,5,13,0.00%,0,1,100.00%,6,6,3,4,1,0,1,4,16
迪克-辛普金斯,13,74,37.50%,6,16,0.00%,0,0,44.40%,4,9,13,3,2,1,3,10,16
阿德里安-布兰奇,12,47,16.70%,4,24,0.00%,0,1,57.10%,8,14,11,7,2,0,5,10,16
阿隆佐-布拉德利,5,16,66.70%,6,9,0.00%,0,0,60.00%,3,5,3,1,1,0,0,2,16
雷-沃蒂斯,3,0,23.10%,6,26,0.00%,0,0,80.00%,4,5,0,6,0,0,0,6,16
George0Johnson__,11,35,53.80%,7,13,0.00%,0,0,50.00%,1,2,11,2,0,0,0,9,15
乔治-穆雷桑,3,70,44.40%,4,9,0.00%,0,0,87.50%,7,8,18,0,0,4,11,6,15
基斯-詹宁斯,3,39,30.80%,4,13,20.00%,1,5,85.70%,6,7,5,4,1,0,4,11,15
大卫-里弗斯,6,33,33.30%,4,12,0.00%,0,2,87.50%,7,8,4,6,0,0,4,6,15
尼克-沙贝克,3,0,27.30%,6,22,0.00%,0,0,60.00%,3,5,0,0,0,0,0,6,15
托马斯-萨托兰斯基,16,96,26.30%,5,19,0.00%,0,3,55.60%,5,9,14,9,1,0,5,8,15
拜伦-休斯顿,4,47,66.70%,6,9,0.00%,0,0,60.00%,3,5,5,3,1,2,0,9,15
拜伦-埃尔文,4,47,22.70%,5,22,0.00%,0,0,83.30%,5,6,8,5,2,0,3,7,15
贾万-欧德汉姆,5,95,43.80%,7,16,0.00%,0,0,0.00%,0,0,24,3,6,7,12,19,14
赛迪-奥斯曼,14,62,33.30%,6,18,14.30%,1,7,25.00%,1,4,7,3,3,0,0,5,14
阿卜杜勒-纳迪尔,14,39,35.30%,6,17,0.00%,0,4,50.00%,2,4,3,3,1,2,2,2,14
雷吉-巴洛克,4,28,85.70%,6,7,66.70%,2,3,0.00%,0,0,2,4,1,0,0,2,14
鲍伯-格里森,8,24,33.30%,5,15,0.00%,0,0,80.00%,4,5,7,3,0,0,0,4,14
鲍伯-达菲,5,24,40.00%,6,15,0.00%,0,0,100.00%,2,2,3,3,0,0,0,3,14
Hal0Tidrick,3,0,26.30%,5,19,0.00%,0,0,60.00%,3,5,0,1,0,0,0,16,13
保罗-哈斯顿,5,0,15.80%,3,19,0.00%,0,0,53.80%,7,13,0,2,0,0,0,14,13
保罗-汤普森,3,34,41.70%,5,12,0.00%,0,2,60.00%,3,5,5,2,4,1,4,3,13
克里斯-詹特,11,62,25.00%,5,20,23.10%,3,13,0.00%,0,0,9,7,2,0,3,7,13
内特-约翰斯顿,3,19,54.50%,6,11,0.00%,0,0,100.00%,1,1,6,1,1,1,0,5,13
唐尼-福尔曼,9,0,15.00%,3,20,0.00%,0,0,63.60%,7,11,0,7,0,0,0,15,13
埃里克-费恩斯腾,20,46,30.80%,4,13,0.00%,0,0,62.50%,5,8,11,1,1,4,2,4,13
大卫-哈里森,6,31,33.30%,3,9,0.00%,0,0,58.30%,7,12,5,0,1,1,4,11,13
安特-日日奇,8,23,50.00%,5,10,0.00%,0,0,50.00%,3,6,6,1,0,1,2,2,13
布鲁斯-布朗,4,56,35.70%,5,14,20.00%,1,5,100.00%,2,2,8,2,2,1,2,8,13
拉里-斯图尔特,4,16,83.30%,5,6,50.00%,1,2,100.00%,2,2,1,2,2,1,2,4,13
杰里-卢罗,9,0,23.80%,5,21,0.00%,0,0,100.00%,3,3,0,1,0,0,0,10,13
沃尔特-赫尔曼,8,49,33.30%,4,12,60.00%,3,5,50.00%,2,4,2,2,1,0,0,7,13
约翰-汤普森,6,32,21.40%,3,14,0.00%,0,0,100.00%,7,7,16,1,0,0,0,4,13
约翰-阿米奇,7,47,30.80%,4,13,0.00%,0,0,62.50%,5,8,4,3,3,2,0,6,13
蒂姆-弗雷泽,11,37,50.00%,6,12,33.30%,1,3,0.00%,0,0,8,10,3,0,3,7,13
詹姆斯-安德森,10,50,35.70%,5,14,28.60%,2,7,50.00%,1,2,9,3,1,0,0,3,13
谢尔登-威廉姆斯,8,57,44.40%,4,9,0.00%,0,0,83.30%,5,6,13,0,1,0,6,8,13
迈克-诺瓦克,4,0,27.30%,6,22,0.00%,0,0,100.00%,1,1,0,10,0,0,0,13,13
迪-布朗,8,52,35.30%,6,17,0.00%,0,6,25.00%,1,4,3,9,0,0,4,1,13
雷杰-斯莱特,4,52,37.50%,6,16,0.00%,0,0,50.00%,1,2,14,0,2,3,3,15,13
马里奥-韦斯特,24,72,35.30%,6,17,0.00%,0,2,20.00%,1,5,9,3,3,0,1,9,13
Bud0Ogden,2,16,45.50%,5,11,0.00%,0,0,50.00%,2,4,3,6,0,0,0,1,12
Charles0Jones_,4,36,50.00%,3,6,0.00%,0,0,100.00%,6,6,4,3,0,3,3,4,12
Goo0Kennedy,6,35,50.00%,5,10,0.00%,0,0,100.00%,2,2,12,0,0,0,0,6,12
亨利-詹姆斯,16,67,17.40%,4,23,22.20%,2,9,50.00%,2,4,3,4,2,0,5,14,12
切洛基-帕克斯,7,55,35.30%,6,17,0.00%,0,0,0.00%,0,1,16,0,1,2,2,11,12
吉姆-麦克艾尔罗伊,5,32,44.40%,4,9,0.00%,0,1,80.00%,4,5,2,4,0,0,2,1,12
大卫-伍德,8,64,57.10%,4,7,100.00%,2,2,50.00%,2,4,8,4,3,0,1,15,12
安迪-邓肯,6,0,31.30%,5,16,0.00%,0,0,66.70%,2,3,0,3,0,0,0,10,12
尤维-普莱,7,29,42.90%,3,7,0.00%,0,0,50.00%,6,12,7,1,1,1,3,6,12
尼克-约翰逊,9,50,23.50%,4,17,14.30%,1,7,100.00%,3,3,4,4,0,1,4,7,12
格雷格-格拉汉姆,6,43,28.60%,4,14,25.00%,1,4,75.00%,3,4,5,6,2,0,1,5,12
罗恩-李,2,41,31.30%,5,16,0.00%,0,0,100.00%,2,2,6,3,4,0,4,7,12
罗恩-霍恩,7,55,33.30%,4,12,0.00%,0,0,80.00%,4,5,11,2,0,0,0,13,12
艾派-尤度,16,92,42.90%,6,14,0.00%,0,0,0.00%,0,4,12,1,2,4,1,9,12
莫里斯-斯托克斯,1,39,25.00%,3,12,0.00%,0,0,85.70%,6,7,15,2,0,0,0,3,12
萨利姆-斯塔德迈尔,3,28,44.40%,4,9,33.30%,2,6,100.00%,2,2,1,0,1,0,3,2,12
贾米尔-沃特森,5,57,66.70%,6,9,0.00%,0,0,0.00%,0,0,1,3,2,1,6,12,12
赫姆-费奇,9,0,37.50%,3,8,0.00%,0,0,75.00%,6,8,0,0,0,0,0,10,12
迈克-普莱斯,8,26,36.40%,4,11,0.00%,0,0,66.70%,4,6,5,5,0,0,0,11,12
马库斯-希斯利普,3,27,71.40%,5,7,0.00%,0,0,50.00%,2,4,5,2,2,1,1,5,12
J.J.0Anderson,5,13,62.50%,5,8,100.00%,1,1,0.00%,0,0,4,0,0,1,0,2,11
Red0Morrison,10,65,33.30%,5,15,0.00%,0,0,14.30%,1,7,25,1,0,0,0,27,11
克里斯-沃什布恩,6,31,42.90%,3,7,0.00%,0,0,83.30%,5,6,1,2,0,0,4,2,11
塞德里克-托尼,3,15,50.00%,3,6,50.00%,3,6,100.00%,2,2,0,2,1,0,2,4,11
德马库斯-考辛斯,2,25,30.80%,4,13,33.30%,1,3,100.00%,2,2,11,5,1,0,6,6,11
拉菲尔-阿鲁尤,5,28,37.50%,3,8,0.00%,0,0,41.70%,5,12,11,1,1,0,0,8,11
杜恩-克鲁赫,4,0,18.80%,3,16,0.00%,0,0,100.00%,5,5,0,6,0,0,0,11,11
杜恩-考斯威尔,8,55,33.30%,2,6,0.00%,0,1,70.00%,7,10,12,2,1,0,3,6,11
杰夫-韦伯,9,23,57.10%,4,7,0.00%,0,0,100.00%,3,3,1,2,0,0,0,2,11
杰纳-英格伦,2,0,20.00%,1,5,0.00%,0,0,81.80%,9,11,0,1,0,0,0,6,11
格雷格-迈纳,4,37,38.50%,5,13,0.00%,0,0,100.00%,1,1,1,2,1,1,1,3,11
桑蒂埃塔-甘尼斯,5,7,83.30%,5,6,100.00%,1,1,0.00%,0,2,2,0,0,0,0,1,11
比尔-麦克吉尔,5,34,55.60%,5,9,0.00%,0,0,100.00%,1,1,9,2,0,0,0,9,11
詹姆斯-怀特,9,22,38.50%,5,13,25.00%,1,4,0.00%,0,0,3,0,0,0,1,1,11
达米安-琼斯,8,32,44.40%,4,9,0.00%,0,0,60.00%,3,5,9,0,2,1,3,7,11
迈克-斯姆瑞克,21,72,18.80%,3,16,0.00%,0,0,55.60%,5,9,13,0,1,10,3,21,11
迪-吉布森,3,0,36.40%,4,11,0.00%,0,0,60.00%,3,5,0,2,0,0,0,11,11
阿尔奇-蒂斯,2,18,33.30%,4,12,0.00%,0,0,100.00%,3,3,4,2,0,0,0,2,11
鲍伯-沙弗,4,39,15.00%,3,20,0.00%,0,0,83.30%,5,6,9,1,0,0,0,8,11
麦克-麦克纳玛纳,8,16,55.60%,5,9,0.00%,0,0,50.00%,1,2,4,0,0,0,0,1,11
Aud0Brindley,3,0,50.00%,3,6,0.00%,0,0,66.70%,4,6,0,0,0,0,0,4,10
Easy0Parham,2,0,38.50%,5,13,0.00%,0,0,0.00%,0,0,0,6,0,0,0,6,10
佩德拉格-德罗比亚克,3,38,33.30%,4,12,0.00%,0,0,50.00%,2,4,8,2,1,0,1,2,10
凯文-阿普肖,3,24,41.70%,5,12,0.00%,0,0,0.00%,0,0,2,5,1,0,1,4,10
卢卡斯-诺奎拉,13,59,57.10%,4,7,0.00%,0,0,50.00%,2,4,14,1,0,0,3,10,10
吉姆-维尔,3,13,38.50%,5,13,0.00%,0,0,0.00%,0,0,2,0,0,0,0,1,10
奥兰多-约翰逊,12,28,18.20%,2,11,33.30%,1,3,55.60%,5,9,3,1,0,0,1,0,10
弗里多-弗雷,5,0,15.80%,3,19,0.00%,0,0,36.40%,4,11,0,7,0,0,0,11,10
拉扎罗-博雷尔,2,26,57.10%,4,7,0.00%,0,0,50.00%,2,4,11,1,0,0,1,2,10
斯坦-帕特里克,3,0,57.10%,4,7,0.00%,0,0,66.70%,2,3,0,1,0,0,0,2,10
本-沙德勒,4,0,21.70%,5,23,0.00%,0,0,0.00%,0,2,0,1,0,0,0,4,10
杰克-卡特,8,0,14.30%,3,21,0.00%,0,0,66.70%,4,6,0,3,0,0,0,12,10
杰克-费尔曼,3,0,40.00%,4,10,0.00%,0,0,66.70%,2,3,0,3,0,0,0,10,10
查理-哈德尼特,5,22,40.00%,4,10,0.00%,0,0,40.00%,2,5,6,2,0,0,0,2,10
特雷沃-鲁芬,5,11,50.00%,4,8,25.00%,1,4,20.00%,1,5,3,2,1,0,0,0,10
盖尔雄-亚布塞莱,15,57,27.30%,3,11,0.00%,0,6,50.00%,4,8,12,4,2,1,1,10,10
科里-克劳德,4,12,55.60%,5,9,0.00%,0,2,0.00%,0,1,2,1,1,0,2,1,10
约什-哈雷尔森,4,22,44.40%,4,9,0.00%,0,1,100.00%,2,2,8,0,0,0,2,6,10
约翰-华莱士,5,44,23.50%,4,17,0.00%,0,1,100.00%,2,2,8,5,2,2,3,7,10
约翰-布朗,7,64,30.80%,4,13,0.00%,0,0,100.00%,2,2,10,1,1,1,7,10,10
约翰-楚格尔,3,11,62.50%,5,8,0.00%,0,0,0.00%,0,0,4,1,0,0,0,0,10
约翰-詹金斯,8,45,44.40%,4,9,40.00%,2,5,0.00%,0,0,5,3,0,0,2,4,10
罗伯特-霍金斯,5,12,80.00%,4,5,0.00%,0,0,100.00%,2,2,0,2,1,0,0,6,10
罗杰-布朗,11,56,40.00%,4,10,0.00%,0,0,50.00%,2,4,14,2,0,2,0,10,10
莱奥-默古斯,3,0,16.70%,3,18,0.00%,0,0,57.10%,4,7,0,7,0,0,0,10,10
萨姆-威廉姆斯,9,81,21.40%,3,14,0.00%,0,0,33.30%,4,12,18,3,2,6,9,9,10
谢赫-迪亚洛,7,48,41.70%,5,12,0.00%,0,0,0.00%,0,0,9,0,1,1,1,9,10
雷-托尔波特,5,33,60.00%,3,5,0.00%,0,0,50.00%,4,8,5,1,4,0,0,7,10
马奎斯-蒂格,8,72,29.40%,5,17,0.00%,0,5,0.00%,0,0,3,12,2,1,2,10,10
马瑞-威尔,3,0,33.30%,3,9,0.00%,0,0,50.00%,4,8,0,0,0,0,0,4,10
鲍伯-卡尼,7,41,12.50%,1,8,0.00%,0,0,88.90%,8,9,5,3,0,0,0,7,10
K.J.0麦克丹尼尔斯,4,34,30.80%,4,13,33.30%,1,3,0.00%,0,0,7,1,0,3,0,3,9
Mo0Mahoney,4,45,21.40%,3,14,0.00%,0,0,60.00%,3,5,7,2,0,0,0,14,9
Rich0Manning,3,21,22.20%,2,9,0.00%,0,0,83.30%,5,6,4,1,0,1,0,5,9
乔-杨,5,13,37.50%,3,8,25.00%,1,4,100.00%,2,2,1,1,0,0,2,4,9
乔丹-麦克雷,2,4,100.00%,4,4,100.00%,1,1,0.00%,0,0,2,0,0,0,0,0,9
亨利-迪克森,5,15,44.40%,4,9,0.00%,0,0,50.00%,1,2,4,3,1,0,0,1,9
伊尔夫-比莫拉斯,3,20,37.50%,3,8,0.00%,0,0,100.00%,3,3,6,1,0,0,0,4,9
奥拉迈德-奥德杰,3,17,80.00%,4,5,0.00%,0,0,20.00%,1,5,6,1,0,0,1,2,9
弗兰-科伦,6,0,25.00%,3,12,0.00%,0,0,100.00%,3,3,0,3,0,0,0,3,9
弗兰克-库德尔卡,3,0,28.60%,4,14,0.00%,0,0,20.00%,1,5,0,6,0,0,0,7,9
德安德鲁-利金斯,11,81,30.00%,3,10,20.00%,1,5,33.30%,2,6,15,4,1,1,4,10,9
拉里-蒂米克,2,37,80.00%,4,5,0.00%,0,0,50.00%,1,2,7,0,0,1,0,3,9
斯科特-斯凯尔斯,2,23,50.00%,4,8,0.00%,0,2,100.00%,1,1,1,3,0,0,5,2,9
普里莫兹-布雷泽克,4,25,57.10%,4,7,0.00%,0,0,50.00%,1,2,3,0,1,0,0,5,9
杰夫-朱德金斯,7,10,50.00%,4,8,33.30%,1,3,0.00%,0,0,4,0,1,0,0,0,9
杰纳-罗德斯,2,51,28.60%,4,14,0.00%,0,0,25.00%,1,4,7,5,0,0,0,5,9
格雷森-艾伦,2,15,28.60%,2,7,0.00%,0,3,71.40%,5,7,1,0,0,0,0,0,9
比利-哈塞特,7,0,25.00%,3,12,0.00%,0,0,30.00%,3,10,0,4,0,0,0,8,9
比尔-亨利,3,0,11.80%,2,17,0.00%,0,0,55.60%,5,9,0,5,0,0,0,14,9
汉克-莱弗考维茨,2,0,22.20%,4,18,0.00%,0,0,100.00%,1,1,0,0,0,0,0,4,9
汉克-麦克多维尔,15,37,25.00%,2,8,0.00%,0,0,62.50%,5,8,10,4,0,0,2,8,9
沃恩-哈顿,6,17,30.80%,4,13,0.00%,0,0,33.30%,1,3,3,1,0,0,0,3,9
洛伦佐-布朗,4,30,30.00%,3,10,40.00%,2,5,50.00%,1,2,6,2,0,1,1,2,9
肯尼-巴特尔,8,34,30.80%,4,13,0.00%,0,0,100.00%,1,1,5,0,0,0,2,5,9
萨姆-德克尔,4,31,25.00%,3,12,50.00%,3,6,0.00%,0,0,10,1,1,1,0,2,9
西奥-平森,3,21,37.50%,3,8,42.90%,3,7,0.00%,0,0,3,3,2,0,1,0,9
里克-布朗森,16,28,28.60%,2,7,0.00%,0,0,83.30%,5,6,1,3,1,0,5,5,9
雷杰-吉尔里,7,46,42.90%,3,7,25.00%,1,4,50.00%,2,4,2,6,1,0,2,10,9
马蒂-康伦,4,47,37.50%,3,8,0.00%,0,0,75.00%,3,4,5,3,1,1,6,7,9
鲍伯-麦克内尔,5,30,57.10%,4,7,0.00%,0,0,50.00%,1,2,6,5,0,0,0,6,9
鲍比-库克,3,0,30.00%,3,10,0.00%,0,0,50.00%,3,6,0,6,0,0,0,3,9
Bob0Cluggish,5,0,14.80%,4,27,0.00%,0,0,0.00%,0,2,0,0,0,0,0,12,8
Luther0Rackley,11,29,14.30%,2,14,0.00%,0,0,100.00%,4,4,7,1,0,0,0,7,8
Sam0Williams_,2,16,57.10%,4,7,0.00%,0,0,0.00%,0,2,4,1,0,0,0,5,8
丹尼尔-泰斯,6,36,37.50%,3,8,0.00%,0,1,100.00%,2,2,7,0,1,1,1,3,8
乔丹-米基,4,28,44.40%,4,9,0.00%,0,0,0.00%,0,0,7,2,0,2,1,3,8
亚当-莫里森,2,13,44.40%,4,9,0.00%,0,2,0.00%,0,0,5,1,0,0,0,2,8
伦尼-罗森布鲁斯,4,11,33.30%,3,9,0.00%,0,0,66.70%,2,3,3,0,0,0,0,0,8
伯特-库克,1,20,66.70%,4,6,0.00%,0,0,0.00%,0,2,0,2,0,0,0,3,8
克里斯-奎因,5,24,42.90%,3,7,0.00%,0,1,100.00%,2,2,1,5,2,0,2,1,8
凯尔-辛格勒,7,60,30.00%,3,10,50.00%,2,4,0.00%,0,2,8,0,1,0,0,6,8
凯德里克-布朗,5,14,50.00%,3,6,100.00%,1,1,50.00%,1,2,2,0,1,1,0,0,8
安东尼-米勒,8,48,30.00%,3,10,0.00%,0,0,100.00%,2,2,15,2,3,1,4,7,8
安东尼-罗伯森,1,4,75.00%,3,4,100.00%,2,2,0.00%,0,0,1,0,2,0,1,0,8
布莱恩-罗伯茨,10,35,22.20%,2,9,0.00%,0,4,66.70%,4,6,1,3,0,0,1,5,8
布鲁克-斯蒂帕,4,20,28.60%,2,7,0.00%,0,1,66.70%,4,6,3,2,0,0,2,3,8
弗莱迪-刘易斯,3,9,44.40%,4,9,0.00%,0,0,0.00%,0,0,4,0,0,0,0,1,8
德尼斯-霍普森,5,18,33.30%,2,6,0.00%,0,0,44.40%,4,9,4,1,0,1,1,2,8
德维恩-琼斯,9,31,50.00%,2,4,0.00%,0,0,66.70%,4,6,11,0,0,1,2,4,8
托尼-罗滕,6,18,18.20%,2,11,0.00%,0,2,100.00%,4,4,4,2,1,0,2,1,8
拜伦-贝克,5,29,33.30%,3,9,0.00%,0,0,100.00%,2,2,6,1,0,0,0,5,8
斯坦-乐福,7,30,30.00%,3,10,0.00%,0,0,66.70%,2,3,10,2,0,0,0,4,8
斯科奥特-麦克雷,4,38,66.70%,4,6,0.00%,0,1,0.00%,0,1,6,3,1,0,0,8,8
本-麦克唐纳德,10,85,14.30%,3,21,0.00%,0,5,50.00%,2,4,14,10,5,1,4,15,8
杰森-汤普森,10,54,44.40%,4,9,0.00%,0,1,0.00%,0,3,11,1,0,1,1,6,8
查克-特里,5,18,80.00%,4,5,0.00%,0,0,0.00%,0,0,3,1,0,0,0,2,8
格兰维尔-维特斯,13,34,57.10%,4,7,0.00%,0,0,0.00%,0,0,6,0,1,4,1,4,8
格雷格-凯尔瑟,5,25,28.60%,2,7,0.00%,0,0,100.00%,4,4,9,2,1,0,2,6,8
泰瑞斯-格兰特,2,11,66.70%,4,6,0.00%,0,0,0.00%,0,0,4,0,0,0,0,1,8
特里-杜伊劳德,10,12,40.00%,4,10,0.00%,0,2,0.00%,0,0,0,0,1,0,1,0,8
约翰-维特泽尔,5,38,42.90%,3,7,0.00%,0,0,100.00%,2,2,4,4,0,0,0,8,8
约翰-莫顿,3,11,40.00%,2,5,0.00%,0,0,100.00%,4,4,0,0,0,0,2,1,8
罗德尼-怀特,5,29,25.00%,4,16,0.00%,0,3,0.00%,0,0,5,0,2,0,3,3,8
菲尔-汉金森,4,8,42.90%,3,7,0.00%,0,0,100.00%,2,2,3,0,0,1,0,0,8
蒂姆-巴塞特,5,36,42.90%,3,7,0.00%,0,0,100.00%,2,2,3,0,0,0,2,11,8
诺姆-斯万森,6,23,42.90%,3,7,0.00%,0,0,66.70%,2,3,5,0,0,0,0,5,8
谢尔文-赖肯,4,19,80.00%,4,5,0.00%,0,0,0.00%,0,1,1,2,0,0,0,3,8
路易斯-蒙特罗,6,8,100.00%,3,3,100.00%,2,2,0.00%,0,0,0,0,0,0,0,1,8
达雷恩-汉考克,9,51,36.40%,4,11,0.00%,0,1,0.00%,0,3,9,2,2,1,4,10,8
迪克-迪基,3,31,12.50%,1,8,0.00%,0,0,85.70%,6,7,3,5,0,0,0,7,8
阿尔弗莱德里克-休斯,3,18,44.40%,4,9,0.00%,0,0,0.00%,0,0,0,1,1,0,1,3,8
阿莱克西-阿金萨,3,10,100.00%,4,4,0.00%,0,0,0.00%,0,0,1,1,1,0,0,2,8
雷-酷卡,3,0,30.00%,3,10,0.00%,0,0,100.00%,2,2,0,0,0,0,0,12,8
马尔科姆-德莱尼,1,3,100.00%,3,3,100.00%,1,1,50.00%,1,2,1,0,0,0,0,0,8
马尚-布鲁克斯,7,40,37.50%,3,8,0.00%,0,1,100.00%,2,2,5,3,0,0,3,3,8
马里奥-班尼特,6,18,50.00%,3,6,0.00%,0,0,100.00%,2,2,9,0,0,1,2,2,8
乔-鲁克里克,6,23,23.10%,3,13,0.00%,0,0,50.00%,1,2,9,0,0,0,0,5,7
乔丹-亚当斯,4,10,66.70%,2,3,100.00%,1,1,50.00%,2,4,1,0,1,0,0,0,7
伊拉-纽贝尔,12,22,60.00%,3,5,33.30%,1,3,0.00%,0,0,3,1,1,0,1,4,7
凯兰纳-阿祖布克,7,19,33.30%,2,6,50.00%,1,2,100.00%,2,2,5,0,2,0,1,1,7
卢克-辛歇尔,3,17,100.00%,2,2,0.00%,0,0,75.00%,3,4,7,0,0,0,1,2,7
唐纳德-斯隆,4,16,28.60%,2,7,25.00%,1,4,50.00%,2,4,1,3,1,0,2,0,7
埃迪-菲利普斯,2,12,50.00%,3,6,0.00%,0,2,25.00%,1,4,5,3,0,0,1,2,7
奥斯丁-达耶,5,27,30.00%,3,10,0.00%,0,1,100.00%,1,1,2,0,0,1,1,2,7
威廉-艾弗里,2,12,50.00%,3,6,50.00%,1,2,0.00%,0,0,1,2,0,1,0,0,7
安苏-瑟塞,4,60,37.50%,3,8,0.00%,0,0,100.00%,1,1,14,4,0,4,2,8,7
布拉德-沃纳梅克,3,13,33.30%,2,6,100.00%,1,1,100.00%,2,2,0,2,1,0,2,0,7
德尼斯-杜瓦尔,5,14,33.30%,3,9,0.00%,0,0,50.00%,1,2,3,3,0,0,0,1,7
德扬泰-戴维斯,3,11,60.00%,3,5,0.00%,0,0,50.00%,1,2,5,0,0,0,0,2,7
昆特尔-伍兹,4,18,33.30%,3,9,0.00%,0,1,50.00%,1,2,2,0,0,0,1,3,7
杰克-图梅,1,0,20.00%,1,5,0.00%,0,0,71.40%,5,7,0,0,0,0,0,6,7
杰罗米-雷恩,4,35,20.00%,2,10,0.00%,0,1,75.00%,3,4,7,4,0,0,2,8,7
杰西-达科,2,11,16.70%,1,6,0.00%,0,0,100.00%,5,5,1,1,0,0,0,2,7
格雷格-萨顿,5,38,15.40%,2,13,0.00%,0,7,100.00%,3,3,5,5,1,1,1,4,7
汤姆-谢夫勒,3,10,66.70%,2,3,0.00%,0,0,75.00%,3,4,5,0,1,0,1,0,7
特雷-莱尔斯,4,16,33.30%,3,9,25.00%,1,4,0.00%,0,0,3,3,1,0,1,2,7
特雷沃恩-格拉汉姆,5,80,20.00%,2,10,0.00%,0,7,50.00%,3,6,11,3,2,1,3,10,7
特马尔-斯利,12,23,22.20%,2,9,50.00%,1,2,100.00%,2,2,2,0,1,0,2,1,7
约翰-乔简森,6,0,42.90%,3,7,0.00%,0,0,100.00%,1,1,0,0,0,0,0,4,7
约翰-托马斯,9,57,50.00%,3,6,0.00%,0,0,50.00%,1,2,10,2,3,1,5,15,7
维克多-亚历山大,6,28,50.00%,3,6,0.00%,0,0,100.00%,1,1,7,1,2,0,2,8,7
维恩-亚茨,4,12,37.50%,3,8,0.00%,0,0,50.00%,1,2,5,1,0,0,0,2,7
罗伦佐-查尔斯,4,15,75.00%,3,4,0.00%,0,0,100.00%,1,1,2,2,0,0,0,1,7
艾尔-弗莱明,5,21,33.30%,2,6,0.00%,0,0,75.00%,3,4,4,2,1,0,2,5,7
贾斯汀-里德,6,22,33.30%,2,6,0.00%,0,2,75.00%,3,4,1,0,0,0,2,2,7
达内尔-米,3,30,50.00%,3,6,25.00%,1,4,0.00%,0,0,2,2,3,0,3,4,7
达夫-拉汀,5,27,20.00%,1,5,0.00%,0,0,83.30%,5,6,5,1,0,0,0,9,7
阿布莱-戴维斯,3,0,33.30%,2,6,0.00%,0,0,100.00%,3,3,0,0,0,0,0,3,7
鲍伯-克里斯蒂安,6,34,37.50%,3,8,0.00%,0,0,100.00%,1,1,7,0,0,0,0,10,7
Charlie0Lowery,7,26,25.00%,2,8,0.00%,0,0,66.70%,2,3,3,1,0,0,0,4,6
