球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
斯蒂芬-马布里,32,937,35.50%,150,422,27.30%,27,99,75.00%,75,100,82,146,29,0,74,75,402
阿伦-里维尔,63,1072,36.60%,138,377,29.50%,13,44,86.30%,113,131,80,203,58,8,75,109,402
詹姆斯-唐纳森,51,1379,62.70%,153,244,0.00%,0,0,77.90%,95,122,400,35,18,42,59,111,401
艾尔-哈灵顿,55,1121,37.40%,148,396,31.70%,32,101,60.50%,72,119,232,37,43,20,60,159,400
安东尼-皮勒,57,1418,35.30%,150,425,32.90%,56,170,79.60%,43,54,189,102,63,10,61,117,399
特里尔-布兰登,38,946,45.70%,165,361,38.10%,16,42,89.70%,52,58,122,163,31,9,67,66,398
马库斯-莫里斯,30,893,41.10%,136,331,42.60%,52,122,76.30%,74,97,164,37,10,10,30,90,398
安东尼-戴维斯,13,531,52.60%,153,291,25.00%,6,24,85.00%,85,100,165,23,23,33,36,42,397
拉里-怀特,49,870,47.70%,166,348,0.00%,0,0,80.20%,65,81,65,133,37,7,0,131,397
詹姆斯-塞拉斯,27,745,44.80%,148,330,0.00%,0,0,80.80%,101,125,64,95,32,2,60,57,397
查理-沃德,72,1567,42.20%,147,348,34.90%,58,166,71.00%,44,62,183,264,105,10,92,146,396
简-亨弗里斯,41,1104,46.70%,151,323,26.80%,15,56,78.20%,79,101,93,187,32,5,57,123,396
鲁西奥斯-哈里斯,54,1087,42.90%,140,326,31.90%,22,69,80.30%,94,117,136,61,31,1,45,95,396
Al0Attles,62,1504,40.30%,154,382,0.00%,0,0,54.40%,86,158,245,206,0,0,0,246,394
Frankie0Brian,43,0,34.70%,134,386,0.00%,0,0,81.80%,126,154,0,93,0,0,0,105,394
迈克-戈明斯基,35,917,48.50%,148,305,0.00%,0,5,79.50%,97,122,193,29,22,57,48,72,393
凯利-特里普卡,25,750,46.20%,145,314,0.00%,0,5,85.60%,101,118,93,57,22,5,61,65,391
尼克-科里森,91,1525,55.80%,164,294,42.90%,3,7,68.20%,60,88,348,71,52,44,52,256,391
